Id,Identifier,Brand,Name,Model,Alias,Announced,Year,Body type,Resolution,Max resolution,Other resolutions,Image ratio (w:h),Effective pixels (MP),Mp Total,Crop Factor,Pixel Pitch,Sensor name,Sensor size (mm),Sensor photo detectors (MP),Sensor Height,Sensor Width,Sensor type,Processor,ISO,Boosted ISO (min),Boosted ISO (max),Custom white balance,White balance presets,Custom white balance slots,Image stabilization,Uncompressed format,JPEG quality levels,Autofocus,Digital zoom,Manual focus,Number of focus points,Lens mount,Focal length multiplier,Articulated LCD,Screen size (Zoll),Screen Resolution,Touch screen,Screen type,Live view,Viewfinder type,Viewfinder coverage,Viewfinder magnification,Minimum shutter speed (sec),Maximum shutter speed (sec),Aperture priority,Shutter priority,Min Shutter Speed,Max Shutter Speed,Manual exposure mode,Subject / scene modes,Built-in flash,External flash,Flash modes,Continuous drive (fps),Self-timer,Metering modes,Exposure compensation,AE Bracketing,WB Bracketing,Microphone,Storage types,Storage included,USB,HDMI,Video,Max Video Resolution,Wireless,Remote control,Environmentally sealed,Battery,Battery description,Battery Life (CIPA),Weight in gram (inc. batteries),Dimensions,Orientation sensor,Timelapse recording,GPS,Wikipedia Link,ImageUrl
Q1030263,nikon_d5000,Nikon,Nikon D5000,D5000,,2009-04-14T00:00:00Z,2009,Compact SLR,,4288 x 2848,"3216 x 2136, 2144 x 1424","0,126388889",12,,,,APS-C ,23.6 x 15.8,13,,,CMOS,Expeed,"Auto, 200 - 3200 (plus 6400 with boost)",,6400,Yes ,12,5,No,RAW,"Fine, Normal, Basic",Contrast Detect (sensor)Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,11,Nikon F,42856,Fully articulated,42918,230000,No,,Yes,Optical (pentamirror),"0,95",0.78,30,767011,Yes,Yes,,,Yes,Yes,Yes,Yes (Hot-shoe),"Auto, On, Off, Red-eye, Slow sync, Rear curtain",4,"Yes (2, 5, 10 or 20 sec)","Multi, Center-weighted, Spot","±5 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),Mono,SD/SDHC card,None,USB 2.0,Yes,,,,Yes (Optional (ML-L3)),No,Battery Pack,Nikon EN-EL9a Lithium-Ion battery,0,590,127 x 104 x 80,Yes,Yes,Optional,https://en.wikipedia.org/wiki/Nikon_D5000,https://upload.wikimedia.org/wikipedia/commons/6/6d/Nikon_D5000.jpg
Q1038814,panasonic_dmcg1,Panasonic,Panasonic Lumix DMC-G1,Lumix DMC-G1,,2008-09-12T00:00:00Z,2008,SLR-style mirrorless,,4000 x 3000,"2816 x 2112, 2048 x 1536, 4000 x 2672, 2816 x 1880, 2048 x 1360, 4000 x 2248, 2816 x 1584, 1920 x 1080","4:3, 3:2, 16:9",12,,,,Four Thirds ,17.3 x 13,13,,,CMOS,,"Auto, 100, 200, 400, 800, 1600, (3200 with boost)",,3200,Yes,6,0,Optical,RAW,"Fine, Standard",Contrast Detect (sensor)Multi-areaSelective single-pointSingleContinuousLive View,Yes (4x),Yes,0,Micro Four Thirds,0,Fully articulated,3,460000,No,,Yes,Electronic,1,0.7,60,767011,Yes,Yes,,,Yes,Yes,Yes,Yes (Hot-shoe),"Auto, On, Off, Red-Eye, Slow Sync",3,Yes (2 or 10 sec),,±3 (at 1/3 EV steps),,,None,SD/MMC/SDHC card,None,USB 2.0,Yes,,,,Yes,No,Battery Pack,Lithium-Ion rechargeable battery & charger,0,360,124 x 84 x 45,No,No,No,https://en.wikipedia.org/wiki/Panasonic_Lumix_DMC-G1,https://upload.wikimedia.org/wikipedia/commons/4/43/Lumix_G1_IMG_2426.jpg
Q1039918,nikon_d5100,Nikon,Nikon D5100,D5100,,2011-04-05T00:00:00Z,2011,Compact SLR,,4928 x 3264,"3696 x 2448, 2464 x 1632","0,126388889",16,,,,APS-C ,23.6 x 15.7,0,,,CMOS,Expeed 2,"Auto, 100- 6400 (plus 12800, 25600 with boost)",,25600,Yes ,12,5,No,RAW,"Fine, Normal, Basic",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousFace DetectionLive View,No,Yes,11,Nikon F,42856,Fully articulated,3,921000,No,TFT LCD monitor,Yes,Optical (pentamirror),"0,95",0.78,30,767011,Yes,Yes,,,Yes,Yes,Yes,Yes (Hot-shoe),"Auto, On, Off, Red-eye, Slow sync, Rear curtain",4,"Yes (2, 5, 10 or 20 sec)",,"±5 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),Mono,SD/SDHC/SDXC,,USB 2.0,Yes,,,,Yes (Optional ML-L3),No,Battery Pack,Lithium-Ion  EN-EL14 rechargeable battery & charger,0,560,128 x 97 x 79,Yes,Yes,Optional,https://en.wikipedia.org/wiki/Nikon_D5100,https://upload.wikimedia.org/wikipedia/commons/5/5f/Nikon_D5100_18-55mm_front.jpg
Q1040045,nikon_d7000,Nikon,Nikon D7000,D7000,,2010-09-15T00:00:00Z,2010,Mid-size SLR,,4928 x 3264,"3696 x 2448, 2464 x 1632","0,126388889",16,,,,APS-C ,23.6 x 15.7,17,,,CMOS,Expeed 2,"100 - 6400 in 1, 1/2 or 1/3 EV steps (100 - 25600 with boost)",100,25600,Yes ,12,5,No,RAW,"Fine, Normal, Basic",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousFace DetectionLive View,No,Yes,39,Nikon F,42856,Fixed,3,921000,No,TFT LCD monitor,Yes,Optical (pentaprism),1,0.95,30,2227981,Yes,Yes,,,Yes,Yes,Yes,"Yes (Hot-shoe, Wireless)","Auto, On, Off, Red-eye, Slow sync, Rear curtain",6,Yes (2 or 10 seconds),,"±5 (at 1/3 EV, 1/2 EV steps)","(3 frames at 1/3 EV, 1/2 EV, 1 EV, 2 EV steps)","Yes (2 or 3 frames in steps of 1, 2 or 3 mired)",Mono,SD/SDHC/SDXC,,USB 2.0,Yes,,,,"Yes (Optional, wired or wireless )",Yes (Weather and dust resistant),Battery Pack,Lithium-Ion  EN-EL15 rechargeable battery & charger,1050,780,132 x 105 x 77,Yes,Yes,Optional,https://en.wikipedia.org/wiki/Nikon_D7000,https://upload.wikimedia.org/wikipedia/commons/a/a1/Nikon_D7000%2B18-105_Lens.jpg
Q1041905,sony_dslra550,Sony,Sony Alpha 550,Alpha DSLR-A550,,2009-08-27T00:00:00Z,2009,Compact SLR,,4592 x 3056,"4592 x 2576, 3344 x 2224, 3344 x 1872, 2288 x 1520, 2288 x 1280","0,126575926",14,,,,APS-C ,23.4 x 15.6,15,,,CMOS,Bionz,"Auto, 200, 400, 800, 1600, 3200, 6400, 12800",,0,Yes ,6,1,Sensor-shift,RAW,"Fine, Standard",Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,9,Sony/Minolta Alpha,42856,Tilting,3,921600,No,,Yes,Optical (pentamirror),"0,95",0.8,30,767011,Yes,Yes,,,Yes,Yes,Yes,"Yes (Hot-shoe, Wireless)","Auto, On, Off, Red-Eye, Slow Sync, High Speed Sync, Rear Curtain, Fill-in, Wireless",7,Yes (2 or 10 sec),,±2 (at 1/3 EV steps),"(3 frames at 1/3 EV, 2/3 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),None,"SD/ SDHC, Memory Stick Pro Duo/ Pro-HG Duo",None,USB 2.0,Yes,,,,Yes (Wired or Wireless (Optional)),No,Battery Pack,Lithium-Ion NP-FM500H rechargeable battery & charger,480,632,137 x 104 x 84,Yes,No,,https://en.wikipedia.org/wiki/Sony_Alpha_550,
Q1048177,nikon_d90,Nikon,Nikon D90,D90,,2008-08-27T00:00:00Z,2008,Mid-size SLR,,4288 x 2848,"3216 x 2136, 2144 x 1424","0,126388889",12,,,,APS-C ,23.6 x 15.8,13,,,CMOS,,"Auto, 200 - 3200 (plus 6400 with boost)",,6400,Yes ,12,5,No,RAW,"Fine, Normal, Basic",Contrast Detect (sensor)Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,11,Nikon F,42856,Fixed,3,920000,No,Super Density TFT color LCD with wide-viewing angle,Yes,Optical (pentaprism),"0,96",0.96,30,767011,Yes,Yes,,,Yes,Yes,Yes,"Yes (Hot-shoe, Wireless)","Auto, On, Off, Front curtain, Rear curtain, Red-Eye, Slow Sync",42859,"Yes (2, 5, 10 or 20 sec)","Multi, Center-weighted, Spot","±5 (at 1/3 EV, 1/2 EV steps)","(2, 3 frames at 1/3 EV, 1/2 EV, 2/3 EV, 1 EV steps)",Yes (2 or 3 frames in either blue/amber or magenta/green axis),Mono,SD/SDHC,None,USB 2.0,Yes,,,,Yes (Optional ML-L3 or MC-DC2),No,Battery Pack,Lithium-Ion EN-EL3e rechargeable battery & charger,850,703,132 x 103 x 77,Yes,Yes (by USB cable and PC),Optional,https://en.wikipedia.org/wiki/Nikon_D90,https://upload.wikimedia.org/wikipedia/commons/1/1e/Nikon_D90P8.jpg
Q1057048,nikon_d40,Nikon,Nikon D40,D40,,2006-11-16T00:00:00Z,2006,Compact SLR,,3008 x 2000,"2256 x 1496, 1504 x 1000","0,126388889",6,,,,APS-C ,23.7 x 15.5,6,,,CCD,,"Auto, 200 - 1600 (plus 3200 with boost)",,3200,Yes,6,0,No,RAW,"Fine, Normal, Basic",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,0,Nikon F,42856,,42857,230000,No,,No,Optical (pentamirror),"0,95",0.8,30,767011,Yes,Yes,,,,,Yes,Yes (hot-shoe),"Front curtain, Rear curtain, Red-Eye, Slow, Red-Eye Slow",42857,Yes (2 to 20 sec),,±5 (at 1/3 EV steps),,,,SD/SDHC card,None,USB 2.0,No,,,,Yes (Optional (ML-L3)),No,Battery Pack,Nikon EN-EL9 Lithium-Ion & charger included,0,522,124 x 94 x 64,Yes,Yes (by USB cable and PC),,https://en.wikipedia.org/wiki/Nikon_D40,https://upload.wikimedia.org/wikipedia/commons/b/b7/NikonD40.JPG
Q1057048,nikon_d40x,Nikon,Nikon D40,D40X,,2007-03-06T00:00:00Z,2007,Compact SLR,,3872 x 2592,"2896 x 1944, 1936 x 1296","0,126388889",10,,,,APS-C ,23.7 x 15.6,11,,,CCD,Expeed,"Auto, 100 - 1600 (plus 3200 with boost)",,3200,Yes,6,0,No,RAW,"Fine, Normal, Basic",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,0,Nikon F,42856,No,42857,230000,No,,No,Optical (pentamirror),"0,95",0.8,30,767011,Yes,Yes,,,,,Yes,Yes (hot-shoe),"Front curtain, Rear curtain, Red-Eye, Slow, Red-Eye Slow",3,Yes (2 to 20 sec),,±5 (at 1/3 EV steps),,,None,SD/SDHC card,None,USB 2.0,No,,,,Yes (Optional (ML-L3)),No,Battery Pack,Nikon EN-EL9 Lithium-Ion & charger included,0,522,124 x 94 x 64,Yes,Yes (by USB cable and PC),,https://en.wikipedia.org/wiki/Nikon_D40,https://upload.wikimedia.org/wikipedia/commons/b/b7/NikonD40.JPG
Q1063853,nikon_d80,Nikon,Nikon D80,D80,,2006-08-09T00:00:00Z,2006,Mid-size SLR,,3872 x 2592,"2896 x 1944, 1936 x 1296","0,126388889",10,,,,APS-C ,23.6 x 15.8,11,,,CCD,,"Auto, 100 - 1600 (plus 3200 with boost)",,3200,Yes,6,0,No,RAW,"Fine, Normal, Basic",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,0,Nikon F,42856,No,42857,230000,No,,No,Optical (pentaprism),"0,95",0.95,30,767011,Yes,Yes,,,,,Yes,"Yes (Hot-shoe, Wireless)","Auto, On, Off, Front curtain, Rear curtain, Red-Eye, Slow Sync, Wireless",3,"Yes (2, 5, 10 or 20 sec)",,"±5 (at 1/3 EV, 1/2 EV steps)",,,None,SD/SDHC card,None,USB 2.0,No,,,,Yes (Optional (ML-L3 or MC-DC1)),No,Battery Pack,Nikon EN-EL3e Lithium-Ion battery,0,668,132 x 103 x 77,Yes,No,,https://en.wikipedia.org/wiki/Nikon_D80,https://upload.wikimedia.org/wikipedia/commons/c/ca/Nikon_D80DSLR.jpg
Q1067227,oly_e330,Olympus,Olympus E-330,E-330,EVOLT E-330,2006-01-26T00:00:00Z,2006,Mid-size SLR,,3136 x 2352,"2560 x 1920, 1600 x 1200, 1280 x 960, 1024 x 768, 640 x 480","0,16875",7,,,,Four Thirds ,17.3 x 13,8,,,CMOS,,"Auto, 100, 200, 400, (800 & 1600 as 'boost'), 1/3 EV steps",,1600,Yes,8,0,No,Unknown,"Standard, High, Super High",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes (lens focus by wire),3,Four Thirds,2,No,42857,215000,No,,Yes,Optical (pentamirror),"0,95",0.93,60,767011,Yes,Yes,,,,,Yes,Yes (Olympus hot-shoe),"Auto, Auto FP, Manual, Red-Eye",3,Yes (2 or 12 sec),,"±5 (at 1/3 EV, 1/2 EV, 1 EV steps)",,,None,"Compact Flash (Type I or II), xD Picture Card",None,USB 1.0,No,,,,Yes (Wire/ InfraRed),No,Battery Pack,Lithium-Ion rechargeable,0,616,140 x 87 x 72,Yes,No,No,https://en.wikipedia.org/wiki/Olympus_E-330,https://upload.wikimedia.org/wikipedia/commons/8/80/Olympus_E-330_frontal.JPG
Q1076309,sony_dslra500,Sony,Sony Alpha 500,Alpha DSLR-A500,,2009-08-27T00:00:00Z,2009,Compact SLR,,4272 x 2848,"4272 x 2400, 3104 x 2072, 3104 x 1744, 2128 x 1416, 2188 x 1192","0,126575926",12,,,,APS-C ,23.5 x 15.6,13,,,CMOS,Bionz,"Auto, 200, 400, 800, 1600, 3200, 6400, 12800",,0,Yes ,6,1,Sensor-shift,RAW,"Fine, Standard",Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,Yes,Yes,9,Sony/Minolta Alpha,42856,Tilting,3,230000,No,,Yes,Optical (pentamirror),"0,95",0.8,30,767011,Yes,Yes,,,Yes,No,Yes,"Yes (Hot-shoe, Wireless)","Auto, On, Off, Red-Eye, Slow Sync, High Speed Sync, Rear Curtain, Fill-in, Wireless",5,Yes (2 or 10 sec),,±2 (at 1/3 EV steps),±2 (3 frames at 1/3 EV steps),No,None,"SD/ SDHC, Memory Stick Pro Duo/ Pro-HG Duo",None,USB 2.0,Yes,,,,Yes (Wired or wirelss (Optional)),No,Battery Pack,Lithium-Ion NP-FM500H rechargeable battery & charger,520,630,137 x 104 x 84,Yes,No,,https://en.wikipedia.org/wiki/Sony_Alpha_500,
Q1130213,sony_dslra850,Sony,Sony Alpha 850,Alpha DSLR-A850,,2009-08-27T00:00:00Z,2009,Mid-size SLR,,6048 x 4032,"4400 x 2936, 4400 x 2936, 3024 x 2016, 6048 x 3408, 4400 x 2472, 3024 x 1704, 3924 x 2656, 2896 x 1928, 1984 x 1320","0,126575926",25,,,,Full frame ,35.9 x 24,26,,,CMOS,Bionz,"Auto, 200, 400, 800, 1600, 3200 (6400 with boost)",,6400,Yes ,7,1,Sensor-shift,RAW,"Extra Fine, Fine, Standard",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,9,Sony/Minolta Alpha,0,Fixed,3,921600,No,TFT Xtra Fine color LCD,No,Optical (pentaprism),"0,98",0.74,30,2227981,Yes,Yes,,,Yes,No,No,"Yes (Hot-shoe, Wireless plus Sync connector)","Auto, On, Off, Red-Eye, Slow Sync, Rear Curtain, Fill-in, Wireless",3,Yes (2 or 10 sec),"Multi, Center-weighted, Spot",±3 (at 1/3 EV steps),"±2 (3, 5 frames at 1/3 EV, 1/2 EV, 2/3 EV, 1 EV steps)",No,None,"Compact Flash (Type I or II), UDMA, Memory Stick Duo / Pro Duo",None,USB 2.0,Yes,,,,Yes (Wired or Wireless (Optional)),No,Battery Pack,Lithium-Ion NP-FM500H rechargeable battery & charger,880,895,156 x 117 x 82,Yes,No,No,https://en.wikipedia.org/wiki/Sony_Alpha_850,https://upload.wikimedia.org/wikipedia/commons/4/43/Sony-a-850.jpg
Q11329154,panasonic_dmcg2,Panasonic,Panasonic Lumix DMC-G2,Lumix DMC-G2,,2010-03-07T00:00:00Z,2010,SLR-style mirrorless,,4000 x 3000,"4000 x 3000,4000 x 2672, 4000 x 2248, 2992 x 2992, 2816 x 2112, 2816 x 1880, 2816 x 1584, 2112 x 2112, 2048 x 1536, 2048 x 1360, 1920 x 1080, 1504 x 1504","1:1, 4:3, 3:2, 16:9",12,,,,Four Thirds ,17.3 x 13,13,,,CMOS,Venus Engine HD II,"Auto, Intelligent ISO, 100, 200, 400, 800, 1600, 3200, 6400",,0,Yes ,5,2,Optical,RAW,"Fine, Standard",Contrast Detect (sensor)Multi-areaSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes (4x),Yes,0,Micro Four Thirds,2,Fully articulated,3,460000,Yes,TFT Color LCD with wide-viewing angle,Yes,Electronic,1,42736,60,767011,Yes,Yes,,,Yes,Yes,Yes,Yes (Hot-shoe),"Auto, On, Off, Red-Eye, Slow Sync",42888,Yes (2 or 10 sec),,±3 (at 1/3 EV steps),"±2 (3, 5, 7 frames at 1/3 EV, 2/3 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),Stereo,SD/SDHC/SDXC,None,USB 2.0,Yes,,,,Yes (Optional DMW-RSL1),No,Battery Pack,Lithium-Ion rechargeable battery & charger,0,428,124 x 84 x 74,No,No,No,https://en.wikipedia.org/wiki/Panasonic_Lumix_DMC-G2,https://upload.wikimedia.org/wikipedia/commons/2/2b/Panasonic_G2_%2B_Konica_Hexanon_501.7.jpg
Q1143323,nikon_d50,Nikon,Nikon D50,D50,,2005-04-20T00:00:00Z,2005,Mid-size SLR,,3008 x 2000,"2256 x 1496, 1504 x 1000","0,126388889",6,,,,APS-C ,23.7 x 15.5,6,,,CCD,,"Auto, 200 - 1600",,0,Yes,6,0,No,RAW,"Fine, Normal, Basic",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,0,Nikon F,42856,,2,130000,No,,No,Optical (pentamirror),"0,95",0.75,30,767011,Yes,Yes,,,,,Yes,Yes (hot-shoe),"Front curtain, Rear curtain, Red-Eye, Slow, Red-Eye Slow",42857,Yes (2 to 20 sec),,"±5 (at 1/2 EV, 1/3 EV steps)",,,,SD card,None,USB 2.0,No,,,,Yes (Optional (ML-L3)),No,Battery Pack,Nikon EN-EL3 Lithium-Ion & charger included,0,620,133 x 102 x 76,Yes,No,,https://en.wikipedia.org/wiki/Nikon_D50,https://upload.wikimedia.org/wikipedia/commons/a/a6/Nikon_D50_Wikipedia.jpg
Q1143786,sony_dslra300,Sony,Sony Alpha 300,Alpha DSLR-A300,,2008-01-30T00:00:00Z,2008,Compact SLR,,3872 x 2592,"3872 x 2176, 2896 x 1936, 2896 x 1632, 1920 x 1280, 1920 x 1088",,10,,,,APS-C ,23.6 x 15.8,11,,,CCD,,"Auto, 100, 200, 400, 800, 1600, 3200",,0,Yes,6,0,Sensor-shift,RAW,"Fine, Standard",Phase DetectMulti-areaCenterSelective single-pointSingleContinuousLive View,No,Yes,9,Sony/Minolta Alpha,42856,Tilting,42918,230000,No,,Yes,Optical (pentamirror),"0,95",0.74,30,767011,Yes,Yes,,,,,Yes,"Yes (Hot-shoe, Wireless)","Auto, Red-Eye, Slow, Red-Eye Slow, Rear curtain, wireless",3,Yes (2 or 10 sec),,±2 (at 1/3 EV steps),,,None,Compact Flash,None,USB 2.0,No,,,,Yes (Wired or wirelss (optional)),No,Battery Pack,,0,632,131 x 99 x 75,Yes,No,No,https://en.wikipedia.org/wiki/Sony_Alpha_300,https://upload.wikimedia.org/wikipedia/commons/b/b6/Sony_a_300_with_vertical_grip-detoured.jpg
Q1144016,oly_e500,Olympus,Olympus E-500,E-500,EVOLT E-500,2005-09-26T00:00:00Z,2005,Mid-size SLR,,3264 x 2448,"3200 x 2400, 2560 x 1920, 1600 x 1200, 1280 x 960, 1024 x 768, 640 x 480","0,16875",8,,,,Four Thirds ,17.3 x 13,9,,,CCD,,"Auto, 100, 200, 400, (800 & 1600 as 'boost'), 1/3 EV steps",,1600,Yes,8,0,No,Unknown,"Standard, High, Super High",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes (lens focus by wire),3,Four Thirds,2,No,42857,215000,No,,No,Optical (pentaprism),"0,95",0.9,60,767011,Yes,Yes,,,,,Yes,Yes (Olympus hot-shoe),"Auto, Auto FP, Manual, Red-Eye",42857,Yes (2 or 12 sec),,"±5 (at 1/3 EV, 1/2 EV, 1 EV steps)",,,None,"Compact Flash (Type I or II), xD Picture Card",None,USB 2.0,No,,,,Yes (InfraRed (optional)),No,Battery Pack,,0,479,130 x 95 x 66,Yes,No,,https://en.wikipedia.org/wiki/Olympus_E-500,https://upload.wikimedia.org/wikipedia/commons/a/a6/E-500_camera.JPG
Q1146418,nikon_d60,Nikon,Nikon D60,D60,,2008-01-29T00:00:00Z,2008,Compact SLR,,3872 x 2592,"2896 x 1944, 1936 x 1296","0,126388889",10,,,,APS-C ,23.6 x 15.8,11,,,CCD,,"Auto, 100, 200, 400, 800, 1600, (plus 3200 with boost)",,3200,,0,0,No,Unknown,"Fine (1:4), Normal (1:8), Basic (1:16)",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,3,Nikon F,42856,No,42857,230000,No,,No,Optical (pentamirror),"0,95",0.8,30,767011,Yes,Yes,,,,,Yes,Yes (hot-shoe),"Auto, Red-Eye, Slow, Red-Eye Slow, Rear curtain",3,Yes (2 or 10 sec),,"±5 (at 1/3 EV, 1/2 EV steps)",,,None,SD/MMC/SDHC card,,USB 2.0,No,,,,Yes (Optional (ML-L3)),No,Battery Pack,,0,522,126 x 94 x 64,Yes,No,,https://en.wikipedia.org/wiki/Nikon_D60,https://upload.wikimedia.org/wikipedia/commons/5/5c/Nikon_D60.jpg
Q1152688,kodak_dcsslrn,Kodak,Kodak DCS Pro SLR/n,DCS Pro SLR/n,,2004-02-12T00:00:00Z,2004,Large SLR,,4500 x 3000,"3000 x 2000, 2500 x 1500, 1125 x 750","0,126388889",14,,,,Full frame ,36 x 24,14,,,CMOS,,"160 - 800 in 1/3 EV steps, 1600 RAW only",,1600,,0,0,No,RAW,RAW (DCR),Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,0,Nikon F,1,,2,130000,No,,No,Optical (pentaprism),"0,92",0,2,767011,Yes,Yes,,,,,Yes,Yes (hot-shoe & sync),,42917,Yes,,±3 (at 1/2 EV steps),,,,"Compact Flash Type I/II, SD/MMC card",None,,No,,,,Yes,No,Battery Pack,Kodak Lithium-Ion,0,1000,131 x 158 x 89,Yes,Yes,,https://en.wikipedia.org/wiki/Kodak_DCS_Pro_SLR/n,
Q1153050,oly_ep1,Olympus,Olympus PEN E-P1,PEN E-P1,,2009-06-16T00:00:00Z,2009,Rangefinder-style mirrorless,,4032 x 3024,"3200 x 2400, 1600 x 1200, 1280 x 960, 1024 x 768, 640 x 480","1:1, 4:3, 3:2, 16:9",12,,,,Four Thirds ,17.3 x 13,13,,,CMOS,TruePic V,"Auto (200 - 3200), 100, 200, 400, 800, 1600, 3200, 6400",,0,Yes ,5,1,Sensor-shift,RAW,,Contrast Detect (sensor)Multi-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,11,Micro Four Thirds,2,Fixed,3,230000,No,HyperCrystal LCD with AR(Anti-Reflective) coating,Yes,None,,0,60,767011,Yes,Yes,,,Yes,Yes,No,Yes (Hot-shoe),"Auto, On, Off, Red-Eye, Fill-in, Slow Sync, Manual (3 levels)",3,Yes (2 or 12 sec),,"±3 (at 1/3 EV, 1/2 EV, 1 EV steps)","(3 frames at 1/3 EV, 1/2 EV, 2/3 EV, 1 EV steps)","Yes (3 frames in 2, 4, 6 steps selectable in either blue/amber or magenta/green axis)",Stereo,SD/SDHC card,,USB 2.0,Yes,,,,Yes (Optional RM-UC1),No,Battery Pack,Lithium-Ion BLS-1 rechargeable battery & charger,300,355,121 x 70 x 36,Yes,,No,https://en.wikipedia.org/wiki/Olympus_PEN_E-P1,https://upload.wikimedia.org/wikipedia/commons/0/0e/Olympus_Pen_img_3486.jpg
Q1155663,nikon_d200,Nikon,Nikon D200,D200,,2005-11-01T00:00:00Z,2005,Mid-size SLR,,3872 x 2592,"2896 x 1944, 1936 x 1296","0,126388889",10,,,,APS-C ,23.6 x 15.8,11,,,CCD,,"100 - 1600 in 1, 1/2 or 1/3 EV steps (up to 3200 as boost)",50,0,Yes,6,0,No,RAW,"Fine, Normal, Basic",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,0,Nikon F,42856,No,42857,230000,No,,No,Optical (pentaprism),"0,95",0.94,30,2227981,Yes,Yes,,,,,Yes,"Yes (Hot-shoe, Wireless plus sync connector)","Front curtain, Rear curtain, Red-Eye, Slow, Red-Eye Slow",5,Yes (2 to 20 sec),,"±5 (at 1/3 EV, 1/2 EV steps)",,,None,Compact Flash (Type I or II),None,USB 2.0,No,,,,Yes (Optional),Yes (Water and dust resistant),Battery Pack,Nikon EN-EL3e Lithium-Ion battery,0,920,147 x 113 x 74,Yes,Yes,Optional,https://en.wikipedia.org/wiki/Nikon_D200,https://upload.wikimedia.org/wikipedia/commons/2/24/Nikon_D200_front_%28aka%29.jpg
Q115845,sony_nex7,Sony,Sony NEX-7,Alpha NEX-7,,2011-08-24T00:00:00Z,2011,Rangefinder-style mirrorless,,6000 x 4000,"6000 x 3376, 4240 x 2832, 4240 x 2400, 3008 x 2000, 3008 x 1688","0,126575926",24,,,,APS-C ,23.5 x 15.6,25,,,CMOS,Bionz,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, 12800, 16000",,0,Yes,6,0,No,RAW,"Fine, Normal",Contrast Detect (sensor)Multi-areaSelective single-pointSingleContinuousLive View,No,Yes,0,Sony E,42856,Tilting,3,921000,,,Yes,Electronic,1,42979,30,767011,Yes,Yes,,,Yes,Yes,Yes,Yes (Hot-shoe),"Auto, On, Off, Red-Eye, Slow Sync, Rear Curtain, Fill-in, Wireless",10,"Yes (2 or 10 sec, 10sec (3 or 5 images))",,±5 (at 1/3 EV steps),(at 1/3 EV steps),No,Stereo,SD/SDHC/SDXC/Memory Stick Pro Duo/ Pro-HG Duo,,USB 2.0,Yes,,,,Yes (InfraRed (optional)),No,Battery Pack,Lithium-Ion NP-FW50 rechargeable battery & charger,430,400,120 x 67 x 43,,,No,https://en.wikipedia.org/wiki/Sony_NEX-7,
Q115857,sony_nex5,Sony,Sony NEX-5,Alpha NEX-5,,2010-05-11T00:00:00Z,2010,Rangefinder-style mirrorless,,4592 x 3056,"4592 x 2576, 3344 x 2224, 3344 x 1872, 2288 x 1520, 2288 x 1280","0,126575926",14,,,,APS-C ,23.4 x 15.6,15,,,CMOS,Bionz,"Auto, 200, 400, 800, 1600, 3200, 6400, 12800",,0,Yes,6,0,No,RAW,"Fine, Standard",Contrast Detect (sensor)Multi-areaSelective single-pointSingleContinuousLive View,No,Yes,25,Sony E,42856,Tilting,3,920000,No,,Yes,None,,0,30,767011,Yes,Yes,,,Yes,Yes,No,Yes (Accessory Port),"Auto, On, Off, Red-Eye, Slow Sync, Rear Curtain, Fill-in",7,"Yes (2 or 10 sec, 10sec (3 images))","Multi, Center-weighted, Spot",±2 (at 1/3 EV steps),,No,Stereo,"SD/ SDHC/SDXC, Memory Stick Pro Duo/ Pro-HG Duo",None,USB 2.0,Yes,,,,Yes (InfraRed (optional)),No,Battery Pack,Lithium-Ion NP-FW50 rechargeable battery & charger,0,287,111 x 59 x 38,Yes,No,No,https://en.wikipedia.org/wiki/Sony_NEX-5,https://upload.wikimedia.org/wikipedia/commons/a/a7/Sony_NEX-5.jpg
