Id,Identifier,Brand,Name,Model,Alias,Announced,Year,Body type,Resolution,Max resolution,Other resolutions,Image ratio (w:h),Effective pixels (MP),Mp Total,Crop Factor,Pixel Pitch,Sensor name,Sensor size (mm),Sensor photo detectors (MP),Sensor Height,Sensor Width,Sensor type,Processor,ISO,Boosted ISO (min),Boosted ISO (max),Custom white balance,White balance presets,Custom white balance slots,Image stabilization,Uncompressed format,JPEG quality levels,Autofocus,Digital zoom,Manual focus,Number of focus points,Lens mount,Focal length multiplier,Articulated LCD,Screen size (Zoll),Screen Resolution,Touch screen,Screen type,Live view,Viewfinder type,Viewfinder coverage,Viewfinder magnification,Minimum shutter speed (sec),Maximum shutter speed (sec),Aperture priority,Shutter priority,Min Shutter Speed,Max Shutter Speed,Manual exposure mode,Subject / scene modes,Built-in flash,External flash,Flash modes,Continuous drive (fps),Self-timer,Metering modes,Exposure compensation,AE Bracketing,WB Bracketing,Microphone,Storage types,Storage included,USB,HDMI,Video,Max Video Resolution,Wireless,Remote control,Environmentally sealed,Battery,Battery description,Battery Life (CIPA),Weight in gram (inc. batteries),Dimensions,Orientation sensor,Timelapse recording,GPS,Wikipedia Link,ImageUrl
Q26709840,canon_eos5dmkiv,Canon,Canon EOS 5D Mark IV,EOS 5D Mark IV,,2016-08-25T00:00:00Z,2016,Mid-size SLR,,6720 x 4480,,"1:1, 4:3, 3:2, 16:9",30,,,,Full frame ,36 x 24,32,,,CMOS,Digic 6+,"Auto, 100-32000 (expands to 50-102400)",50,102400,Yes,6,0,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,,Yes,61,Canon EF,1,Fixed,42769,1620000,Yes,TFT LCD,Yes,Optical (pentaprism),1,0.71,30,2227981,Yes,Yes,,,Yes,No,No,Yes (via hot shoe or flash sync port),,7,"Yes (2 or 10 secs, custom)",,"±5 (at 1/3 EV, 1/2 EV steps)","±3 (2, 3, 5, 7 frames at 1/3 EV, 1/2 EV steps)",Yes,Mono,CompactFlash + SD/SDHC/SDXC card (UHS-I enabled),,USB 3.0,Yes,,,,"Yes (wired, wireless, or smartphone)",Yes,Battery Pack,LP-E6N lithium-ion battery & charger,900,890,151 x 116 x 76,Yes,,Built-in,https://en.wikipedia.org/wiki/Canon_EOS_5D_Mark_IV,https://upload.wikimedia.org/wikipedia/commons/2/25/Canon_EOS-5D-Mark-IV-03.jpg
Q26900407,canon_eosm5,Canon,Canon EOS M5,EOS M5,,2016-09-15T00:00:00Z,2016,SLR-style mirrorless,6000 x 4000,6000 x 4000,"3:2 (6000 x 3368, 3984 x 2656, 2976 x 1984, 2400 x 1600), 16:9 (6000 x 3368, 3984 x 2240, 2976 x 1680, 2400 x 1344), 4:3 (5328 x 4000, 3552 x 2664, 2656 x 1992, 2112 x 1600), 1:1 (4000 x 4000, 2656 x 2656, 1984 x 1984, 1600 x 1600)","1:1, 4:3, 3:2, 16:9",24,25.8,22282,42919,APS-C ,22.3 x 14.9,26,14.90,22.30,CMOS,Digic 7,"Auto, 100-25600",,0,Yes,6,0,No,RAW,"Fine, standard",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,,Yes,49,Canon EF-M,42887,Tilting,42769,1620000,Yes,TFT LCD,Yes,Electronic,1,0,30,767011,Yes,Yes,30,767011,Yes,,Yes,Yes,,9,"Yes (2 or 10 secs, custom, remote)",,±3 (at 1/3 EV steps),±2 (3 frames at 1/3 EV steps),No,Stereo,SD/SDHC/SDXC card,,USB 2.0,Yes,Yes,1920x1080 (60p/50p/30p/25p/24p),Yes,"Yes (Wired, wireless, or smartphone)",No,Battery Pack,LP-E17 lithium-ion battery & charger,295,427,116 x 89 x 61,Yes,,No,https://en.wikipedia.org/wiki/Canon_EOS_M5,
Q26961018,fujifilm_xt2,Fujifilm,Fujifilm X-T2,X-T2,,2016-07-07T00:00:00Z,2016,SLR-style mirrorless,,6000 x 4000,"3:2 (4240 x 2832, 3008 x 2000), 16:9 (6000 x 3376, 4240 x 2384, 3008 x 1688), 1:1 (4000 x 4000, 2832 x 2832, 2000 x 2000)","1:1, 3:2, 16:9",24,,,,APS-C ,23.6 x 15.6,0,,,CMOS,X-Processor Pro2,"Auto, 200 -12800 (expands to 100-51200)",100,51200,Yes ,7,3,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousFace DetectionLive View,,Yes,325,Fujifilm X,42856,Tilting,3,1040000,No,,Yes,Electronic,1,0.77,30,2227981,Yes,Yes,,,Yes,No,No,Yes,"Auto, standard, slow sync, manual, commander",14,Yes (2 or 10 secs),"Multi, Center-weighted, Average, Spot",±5 (at 1/3 EV steps),"±2 (3 frames at 1/3 EV, 1/2 EV, 2/3 EV, 1 EV, 2 EV steps)",Yes,Stereo,Dual SD/SDHC/SDXC (UHS II compatible),,USB 3.0,Yes,,,,Yes (via smartphone or wired remote),Yes,Battery Pack,NP-W126S lithium-ion battery & charger,340,507,133 x 92 x 49,Yes,Yes,No,https://en.wikipedia.org/wiki/Fujifilm_X-T2,
Q26961018,fujifilm_x-t2,Fujifilm,Fujifilm X-T2,X-T2,,,2016,,6000 x 4000,,,,24.3,0,19360,42981,,23.6 x 15.6 mm,,15.60,23.60,CMOS,,"Auto, 200 -12800 (expands to 100-51200)",,,,7,,,,,,,Yes,,,,,3,"1,040,000",,,,Electronic,,,,,Yes,Yes,30,2227981,,,No,Yes,,,,"Multi, Center-weighted, Spot",5 EV (in 1/3 EV steps),,,,SD/SDHC/SDXC (UHS II),,USB 3.0 ,Yes,Yes,3840x2160 (30p/25p/24p),Yes,,,NP-W126S lithium-ion battery,,,507,132.5 x 91.8 x 49.2,,,No,https://en.wikipedia.org/wiki/Fujifilm_X-T2,
Q27194341,sony_alphaa6500,Sony,Sony α6500,Alpha a6500,,,2016,,6000 x 4000,,,,24.2,25,19360,32568,,23.5 x 15.6 mm,,15.60,23.50,CMOS,,"Auto, 100-25600 (expandable to 51200)",,,,8,,,,,,,Yes,,,,,3,"921,6",,,,Electronic,,,,,Yes,Yes,30,767011,,,Yes,Yes,,,,,"5 EV (in 1/3 EV, 1/2 EV steps)",,,,SD/SDHC/SDXC/MS PRO Duo,,USB 2.0 ,Yes,Yes,3840x2160 (30p/25p/24p),Yes,,,NP-FW50 Lithium-ion battery,,,453,120 x 66.9 x 53.3,,,No,https://en.wikipedia.org/wiki/Sony_Alpha_6500,
sony_alphaa99ii,sony_alphaa99ii,Sony,Sony Alpha A99 II,Alpha A99 II,,,2016,,7952 x 5304,,,,42.4,43.6,1,42859,,35.9 x 24 mm,,24.00,35.90,CMOS,,"Auto, 100-25600 (expandable to 50-102400)",,,,10,,,,,,,Yes,,,,,3,"1,228,800",,,,Electronic,,,,,Yes,Yes,30,2227981,,,No,Yes,,,,,"5 EV (in 1/3 EV, 1/2 EV steps)",,,,SD/SDHC/SDXC/MS PRO Duo,,USB 2.0 ,Yes,Yes,3840x2160 (30p/25p/24p),Yes,,,NP-FM500H lithium-ion battery,,,849,142.6 x 104.2 x 76.1,,,No,https://en.wikipedia.org/wiki/Sony_Alpha_99_II,
sony_alphaalphaslt-a77ii,sony_alphaalphaslt-a77ii,Sony,Sony Alpha Alpha SLT-A77 II,Alpha Alpha SLT-A77 II,,,2014,,6000 x 4000,,,,24.3,24.7,19360,32203,,23.5 x 15.6 mm,,15.60,23.50,CMOS,,"Auto, 100-51200",,,,9,,,,,,,Yes,,,,,3,"1,228,000",,,,Electronic,,,,,Yes,Yes,30,2227981,,,Yes,Yes,,,,,"5 EV (in 1/3 EV, 1/2 EV steps)",,,,"SD/SDHC/SDXC, Memory Stick Pro Duo/Pro-HG Duo",,USB 2.0 ,Yes,Yes,1920x1080 (60p/60i/30p),Yes,,,NP-FM500H,,,647,142.6 x 104.2 x 80.9,,,No,,
Q27763763,fujifilm_gfx50s,Fujifilm,Fujifilm GFX 50S,GFX 50S,,2016-09-19T00:00:00Z,2016,SLR-style mirrorless,,8256 x 6192,,"1:1, 5:4, 4:3, 3:2",51,,,,Medium format ,44 x 33,0,,,CMOS,X Processor Pro,"Auto, 100-12800 (expands up to 102400)",,102400,Yes,7,0,No,RAW + TIFF,"Super fine, fine, normal",Contrast Detect (sensor)Multi-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,,Yes,117,,0.79,Tilting,42769,2360000,Yes,OLED,Yes,Electronic,1,0.85,360,767011,Yes,Yes,,,Yes,No,No,Yes (via hot shoe or flash sync terminal),"Auto, standard, slow sync, manual, off",3,Yes (2 or 10 sec),"Multi, Center-weighted, Average, Spot",±5 (at 1/3 EV steps),"±5 (2, 3, 5, 7 frames at 1/3 EV, 1/2 EV, 2/3 EV, 1 EV, 2 EV steps)",Yes,Stereo,"SD/SDHC/SDXC (dual slots, UHS-II supported)",,USB 3.0,Yes,,,,Yes (via cable or smartphone),Yes,Battery Pack,NP-T125 lithium-ion battery & charger,400,740,148 x 94 x 91,Yes,Yes,No,https://en.wikipedia.org/wiki/Fujifilm_GFX_50S,
Q2789923,nikon_d1h,Nikon,Nikon D1H,D1H,,2001-02-05T00:00:00Z,2001,Large SLR,,2000 x 1312,n/a,"0,126388889",3,,,,APS-C ,23.7 x 15.5,3,,,CCD,,"200 - 1600 in 1, 1/2 or 1/3 EV steps",,0,Yes,6,0,No,,"Fine, Normal, Basic",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,0,Nikon F,42856,,2,130000,No,,No,Optical (pentaprism),"0,96",0.8,30,1/16000,Yes,Yes,,,,,No,Yes (hot-shoe plus sync connector),"Front curtain, Rear curtain, Red-Eye, Slow, Red-Eye Slow",5,Yes (2 to 20 sec),,"±5 (at 1/2 EV, 1/3 EV steps)",,,,Compact Flash (Type I or II),None,,No,,,,Yes,No,Battery Pack,,0,1200,157 x 153 x 85,No,No,,https://en.wikipedia.org/wiki/Nikon_D1,
Q279763,fuji_s2,Fujifilm,Fujifilm FinePix S2 Pro,FinePix S2 Pro,,2002-01-30T00:00:00Z,2002,Large SLR,,4256 x 2848,"3024 x 2016, 2304 x 1536, 1440 x 960","0,126388889",6,,,,APS-C ,23 x 15.5,7,,,CCD,,"100, 160, 200, 400, 800, 1600",,0,Yes,7,0,No,,"Basic, Normal, Fine",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,0,Nikon F,42856,,42948,117000,No,,No,Optical (pentaprism),"0,92",0,30,767011,Yes,Yes,,,,,Yes,Yes (hot-shoe),"Auto, On, Off, Red-eye reduction, Slow Sync",2,"Yes (2, 5, 2 or 100 sec)",,±3 (at 1/2 EV steps),,,,"SmartMedia, Compact Flash Type I or II",None,USB 1.0,No,,,,Yes (Optional),Yes,Battery Pack,,0,850,142 x 131 x 80,No,Yes (by USB cable and PC),,https://en.wikipedia.org/wiki/Fujifilm_FinePix_S2_Pro,https://upload.wikimedia.org/wikipedia/commons/1/10/Fujifilm_Finepix_S2_Pro_3657.jpg
